time,action,target,move_mode,bbox_side,bbox_center,bbox_height,target_distance,heading_diff_deg,pos_x,pos_y,pos_z,yaw_deg,ctrl_left,ctrl_right
1763567276.0050292,move_to,red pole,turn_left,left,0.315,418,3.2404690891103183,-75.69688760988035,2.5601071635476803e-07,3.5895118306889326e-06,0.09983304451918369,0.00018929984487993409,-8.0,8.0
1763567281.734038,move_to,red pole,turn_left,left,0.25,479,3.242900415563638,-70.9597941071065,0.006612652657287261,0.004189767544771364,0.0998330445191836,-4.868383668990251,-8.0,8.0
1763567286.133226,move_to,red pole,turn_left,left,0.255,560,3.2432999104751805,-66.80079768328241,0.013593373719865217,0.006356073772153085,0.0998330445191836,-9.156317295807028,-8.0,8.0
1763567291.1588612,move_to,red pole,turn_left,left,0.245,390,3.2432566267497807,-61.916527927689415,0.020681364937277583,0.008075873975040171,0.0998330445191836,-14.169434490478896,-8.0,8.0
1763567298.2788649,move_to,red pole,turn_left,left,0.2855,586,3.242849817307413,-57.25859777385945,0.0270983245340814,0.009239743518361477,0.0998330445191836,-18.942359857903742,-8.0,8.0
1763567305.587191,move_to,red pole,turn_left,left,0.17,485,3.2421732134486247,-53.50292840734613,0.030681199136553605,0.009421035616951413,0.0998330445191836,-22.760282633676315,-8.0,8.0
1763567310.347819,move_to,red pole,turn_left,left,0.19,510,3.2417933347805707,-49.88225477820944,0.03404567599301487,0.009850627864239006,0.0998330445191836,-26.44052247995706,-8.0,8.0
1763567314.823952,move_to,red pole,turn_left,left,0.086,560,3.2412447329231884,-46.6442162346473,0.03629071282904133,0.009831598608994694,0.0998330445191836,-29.717041849458944,-8.0,8.0
