base_speed,turn_speed,t_forward,t_turn,forward_yaw_diff,forward_lat_error,forward_dist,turn_yaw_err,turn_pos_drift,score
8.0,6.0,1.0,0.6,150.34298558272792,-0.14863526334226188,2.6891519251024474,93.12781974029372,1.7478542522679905,198.01072255899282
8.0,6.0,1.0,0.8,149.84347932820157,-0.18591649739778632,2.6616651447267197,38.16448437813705,2.0888572233887555,170.81360381411645
8.0,6.0,1.0,1.0,148.149981871882,-0.15841061683774932,2.706085340863095,9.624675214624574,2.1474200358611792,154.86789544372905
8.0,6.0,1.5,0.6,150.99645395056837,0.08479855662772123,2.9071521314743647,93.12781974030327,1.7478542522680194,198.3185173070371
8.0,6.0,1.5,0.8,145.1392376475979,0.15393022452672864,2.7078057814649132,38.164484378141424,2.088857223388491,165.99924895103413
8.0,6.0,1.5,1.0,144.95899105317426,0.12896553040212227,2.951532958953509,9.624675214666468,2.1474200358612565,151.37256683408074
8.0,6.0,2.0,0.6,143.09002707996672,0.42582998425193574,3.171272692989856,93.1278197403127,1.7478542522678093,190.83003273017272
8.0,6.0,2.0,0.8,142.03693698022744,0.43729212816951685,2.979516840569989,38.16448437812619,2.0888572233879312,163.19196103183543
8.0,6.0,2.0,1.0,143.64254875630394,0.4606968920701809,3.0494959277293368,9.624675214644014,2.1474200358612667,150.6216242917595
8.0,8.0,1.0,0.6,141.84939264266364,-0.11256137085774534,2.783215020918601,97.2513406124205,1.965532092945499,191.8480348555618
8.0,8.0,1.0,0.8,147.2442290162839,-0.16634722987913395,2.734858204493589,57.12588707929115,2.0556383725710154,177.5162855563362
8.0,8.0,1.0,1.0,150.64604268213134,-0.1601751232138222,2.7482764364773447,29.441425204094628,2.348280480879887,167.63539005588873
8.0,8.0,1.5,0.6,135.9200751981051,0.2516379066071128,2.575906652409097,108.5599582788808,1.7359111837365424,191.59924586582375
8.0,8.0,1.5,0.8,148.89319365646406,0.1359725976953371,2.95223013132739,53.18462826645407,2.355908979345843,177.51704081244608
8.0,8.0,1.5,1.0,151.64742922682467,0.11055378991088993,2.7987993866596717,35.23259423354284,2.449287843295327,171.58461022334885
8.0,8.0,2.0,0.6,145.45034586021166,0.3867921507109581,3.1185360146603993,108.55995827888131,1.7359111837365406,200.85719565388692
8.0,8.0,2.0,0.8,144.03337568374172,0.3693040874509918,3.217977261356817,50.43620299500651,2.3723517478472673,171.51681159048465
8.0,8.0,2.0,1.0,143.50408137678596,0.41642269036951957,3.1007810148436468,10.65028560298623,2.4478380044961683,151.45696455316678
8.0,10.0,1.0,0.6,149.64186907935527,-0.14307724240722772,2.7483558046503607,115.4407799368114,2.149511451465138,209.19908063085535
8.0,10.0,1.0,0.8,150.6209549269832,-0.1521248109206583,2.5070525694901504,83.18433540348428,2.587482957502066,195.1852855960806
8.0,10.0,1.0,1.0,149.35303087012346,-0.20036127023433617,2.761003203563544,26.82691396263897,2.7172514986849223,165.8407101857179
8.0,10.0,1.5,0.6,138.64212353670666,0.12316721378559686,3.0921287188449105,125.22672924778647,1.9905897165535043,202.39087330243316
8.0,10.0,1.5,0.8,142.4043459321719,0.027327944646580137,3.0357806322463077,71.53911907514123,2.5530395057874884,180.29885973836434
8.0,10.0,1.5,1.0,145.08733916203244,0.11396996790155013,2.980103070015635,36.60183555292457,2.793920291798517,166.2239343878792
8.0,10.0,2.0,0.6,149.03014085603763,0.38222862644227407,3.034264823685557,127.46485600100425,2.045563861856829,214.5838890094524
8.0,10.0,2.0,0.8,147.11078483988467,0.4028904415027932,3.0965279892403133,81.40719856834585,2.4280419420715966,190.37972090196607
8.0,10.0,2.0,1.0,146.7603673821207,0.43633958414053914,3.0715856805369657,40.36803002295596,2.6402338075488077,170.02594349644042
10.0,6.0,1.0,0.6,142.83722905599762,-0.20885620889440903,2.768051826937882,93.12781974031077,1.7478542522679958,190.54650802153992
10.0,6.0,1.0,0.8,124.12660916485243,-0.2531348222326794,2.9828058346641355,38.164484378127895,2.088857223388201,144.910029610494
10.0,6.0,1.0,1.0,155.5497397635773,-0.11958059646404208,2.3425652618698054,9.624675214658225,2.1474200358612134,162.55351337368714
10.0,6.0,1.5,0.6,127.60273397219453,0.05328696239735202,3.2685005507629943,93.12781974030867,1.747854252267939,174.50042572091647
10.0,6.0,1.5,0.8,144.4888486394907,0.0780738161153,3.061098664179808,38.16448437812642,2.0888572233881493,164.843854243381
10.0,6.0,1.5,1.0,140.60859377484127,0.03286835363783959,3.114646772587743,9.624675214645379,2.147420035861168,146.66686138857423
10.0,6.0,2.0,0.6,139.58784255037926,0.4011582746951499,3.479134518609407,93.12781974029929,1.747854252268089,186.97064295584596
10.0,6.0,2.0,0.8,148.5619176889856,0.6748545606964537,2.7862212617430075,38.16448437811374,2.0888572233880702,170.38536218446853
10.0,6.0,2.0,1.0,136.89339336526075,0.4239126274745961,3.479430975509922,9.624675214643048,2.1474200358612574,143.36896532374405
10.0,8.0,1.0,0.6,135.71348973219136,-0.23459705866318845,2.7751611532755343,107.44388187705567,1.9356762887325565,191.00081621223512
10.0,8.0,1.0,0.8,143.61553059182063,-0.287045869921317,2.8306908754566966,57.12588707930047,2.055638372570913,174.03315174099862
10.0,8.0,1.0,1.0,133.382906071129,-0.25541967363008516,2.835076700065188,16.95061898062761,2.432265226636794,144.39850866191136
10.0,8.0,1.5,0.6,143.70067316252823,-0.037891828555379106,3.270775853712769,108.55995827887352,1.735911183736564,198.2574824728361
10.0,8.0,1.5,0.8,140.73971555475538,0.11611604488580442,3.041618274234045,57.12588707929626,2.055638372570953,170.60454965508296
10.0,8.0,1.5,1.0,136.6190009123884,0.0336971000433669,3.2425694072478404,25.669483054811167,2.412700796434758,151.10396882550242
10.0,8.0,2.0,0.6,138.9909160100716,0.4526424124325679,3.353067162104838,108.559958278875,1.7359111837365484,194.29493517974248
10.0,8.0,2.0,0.8,128.97314732435257,0.3311140410981694,3.638592206172031,39.46021255337183,2.374753016862451,150.4763955107877
10.0,8.0,2.0,1.0,139.98266346104066,0.4514886245326667,3.399800237367789,28.35116719138307,2.0978997603793226,155.85722358918838
10.0,10.0,1.0,0.6,140.0196809779701,-0.24698690596800785,2.7770986684527266,122.13837778607075,1.9228198182052543,202.65138465089925
10.0,10.0,1.0,0.8,158.7498364065487,-0.12081942477254494,2.3421869579410264,56.514877971153965,2.553486139282118,190.01369956229397
10.0,10.0,1.0,1.0,131.09063762510408,-0.20588578306144859,2.8468888562821797,39.54232701373354,2.7035504464403943,153.83378473469233
